N	t_total(s)	Flops/s(t_total)	t_comp(s)	Flops/s(t_comp)
500 1.40897 1.77434e+08 0.00696736 3.58816e+10
1000 1.07666 1.8576e+09 0.0253517 7.88902e+10
1500 1.21517 5.55479e+09 0.0769792 8.7686e+10
2000 1.44776 1.10516e+10 0.171095 9.35151e+10
2500 1.77571 1.75986e+10 0.326473 9.572e+10
3000 2.18383 2.47272e+10 0.535841 1.00776e+11
3500 2.7456 3.12318e+10 0.853593 1.00458e+11
4000 3.39402 3.77134e+10 1.27008 1.00781e+11
4500 4.29268 4.2456e+10 1.79267 1.01664e+11
5000 5.32613 4.69384e+10 2.47766 1.00902e+11
