500  235.578 215.853  208.709 235.313  232.258  226.249   178.882
1000 377.748 375.939  379.405 382.072  381.321  383.083   316.505
1500 480.425 478.594  483.444 485.847  489.057  484.342   420.659 
2000 558.25  557.681  560.127 562.509  565.548  555.944   493.264
2500 612.862 611.527  615.417 618.856  623.171  616.839   552.039
3000 673.161 672.128  676.399 677.759  681.643  677.067   615.973
3500 703.172 702.233  705.811 708.816  711.85   705.976   650.305
4000 735.145 733.617  737.159 739.273  741.522  737.091   684.518
4500 760.966 759.659  762.345 762.574  764.855  761.413   709.966
5000 779.708 778.464  778.443 780.771   781.564  779.187  729.310
