N  streams time Gflops/s
5000 1 0.342829 729.226 
5000 6 1.918798 781.739 
5000 11 3.511348 783.175 
5000 16 5.125474 780.416 
5000 21 6.738765 779.074 
5000 26 8.364058 777.135 
5000 31 9.994020 775.464 
5000 36 11.613861 774.936 
4500 1 0.256890 709.448 
4500 6 1.432774 763.205 
4500 11 2.621809 764.644 
4500 16 3.828666 761.623 
4500 21 5.039942 759.384 
4500 26 6.252831 757.817 
4500 31 7.461473 757.19 
4500 36 8.679255 755.94 
4000 1 0.187571 682.409 
4000 6 1.038432 739.577 
4000 11 1.896241 742.522 
4000 16 2.772553 738.669 
4000 21 3.650685 736.3 
4000 26 4.529063 734.81 
4000 31 5.394985 735.498 
4000 36 6.270252 734.899 
3500 1 0.131869 650.267 
3500 6 0.725734 708.937 
3500 11 1.326068 711.313 
3500 16 1.937596 708.094 
3500 21 2.551188 705.848 
3500 26 3.171487 702.983 
3500 31 3.786302 702.07 
3500 36 4.399733 701.633 
3000 1 0.087621 616.293 
3000 6 0.477333 678.772 
3000 11 0.872400 680.88 
3000 16 1.275687 677.282 
3000 21 1.677607 675.963 
3000 26 2.085357 673.266 
3000 31 2.493990 671.214 
3000 36 2.898611 670.666 
2500 1 0.056050 557.542 
2500 6 0.302942 618.93 
2500 11 0.551869 622.883 
2500 16 0.809615 617.578 
2500 21 1.068545 614.153 
2500 26 1.326721 612.412 
2500 31 1.581898 612.397 
2500 36 1.840018 611.407 
2000 1 0.031971 500.457 
2000 6 0.170758 562.2 
2000 11 0.311657 564.724 
2000 16 0.454464 563.3 
2000 21 0.600629 559.413 
2000 26 0.744573 558.71 
2000 31 0.890311 557.108 
2000 36 1.041217 553.199 
1500 1 0.015978 422.45 
1500 6 0.083221 486.659 
1500 11 0.151974 488.569 
1500 16 0.222419 485.571 
1500 21 0.293453 483.042 
1500 26 0.364845 481.026 
1500 31 0.436660 479.206 
1500 36 0.507846 478.491 
1000 1 0.006312 316.871 
1000 6 0.031690 378.663 
1000 11 0.057695 381.319 
1000 16 0.084324 379.489 
1000 21 0.110715 379.352 
1000 26 0.139212 373.531 
1000 31 0.166046 373.391 
1000 36 0.191733 375.522 
500 1 0.001399 178.69 
500 6 0.006597 227.376 
500 11 0.011799 233.074 
500 16 0.017026 234.933 
500 21 0.022290 235.528 
500 26 0.027607 235.449 
500 31 0.032840 235.989 
500 36 0.037977 236.983 
